scorer,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,Sound Stimulus,Sound Stimulus,Sound Stimulus,Left Knee,Left Knee,Left Knee,Left Foot,Left Foot,Left Foot,Right Knee,Right Knee,Right Knee,Right Foot,Right Foot,Right Foot
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,652.1044175997376,560.3551585674286,0.979521632194519,680.6463160514832,184.78602838516235,0.9808162450790405,292.07347202301025,34.612507820129395,0.03799256682395935,539.5613916814327,462.2897024154663,0.9748029112815857,485.7097499370575,328.5675370693207,0.7548304796218872,752.4890553951263,490.4738984107971,0.9902470111846924,742.8545224666595,673.8173756599426,0.8536909222602844
1,652.1044175997376,562.0728143453598,0.9908963441848755,680.6463160514832,189.34410285949707,0.9861469268798828,292.0734934806824,34.61275386810303,0.038129448890686035,542.3513941764832,471.61051416397095,0.9934710264205933,488.4316439628601,641.501959323883,0.8752695322036743,752.4890553951263,493.55219972133636,0.9925415515899658,742.8545224666595,675.9014663696289,0.7332396507263184
2,653.6499106884003,562.0728143453598,0.9907154440879822,680.6463160514832,189.34410285949707,0.9820660352706909,292.0734934806824,34.61278772354126,0.038127601146698,542.9392762184143,471.61051416397095,0.99207603931427,488.6125440597534,641.501959323883,0.8825119733810425,752.4890553951263,495.0913372039795,0.9853968620300293,742.8545224666595,675.9014663696289,0.742884635925293
3,653.6499106884003,562.8750606775284,0.9879714250564575,680.3679461479187,189.34410285949707,0.9757791757583618,292.0734934806824,34.61278772354126,0.03812718391418457,544.3475036621094,472.6306962966919,0.9893447756767273,488.6125440597534,643.2101151943207,0.9478495717048645,751.1825437545776,496.2318298816681,0.9891301989555359,741.2215765714645,679.3452548980713,0.32687056064605713
4,652.8100019693375,562.8750606775284,0.9857460260391235,680.1497247219086,189.34410285949707,0.9813001155853271,292.07347202301025,34.61446762084961,0.03812122344970703,543.9104199409485,472.6306962966919,0.9955800771713257,491.3059494495392,641.501959323883,0.9626555442810059,751.1825437545776,496.6223862171173,0.9729025959968567,741.2215765714645,679.3452548980713,0.5733214616775513
5,652.8100019693375,562.8750606775284,0.9924811124801636,679.929491519928,189.34410285949707,0.9785481691360474,292.0734934806824,34.615450859069824,0.03800204396247864,545.3883004188538,471.61051416397095,0.9943116307258606,491.9363465234637,641.501959323883,0.8953696489334106,751.1825437545776,496.93219089508057,0.9859186410903931,741.2215765714645,675.9014663696289,0.7242712378501892
6,654.1481287479401,562.8750606775284,0.9907060861587524,679.8932337760925,188.61321830749512,0.9841872453689575,292.07375049591064,34.615450859069824,0.03805127739906311,545.3883004188538,469.4834451675415,0.9935992956161499,491.9363465234637,638.5087320804596,0.9121977686882019,751.2570948600769,496.2318298816681,0.990504264831543,742.1956734657288,673.8646769523621,0.44769203662872314
7,654.4757790565491,562.8750606775284,0.9843395948410034,679.8932337760925,188.61321830749512,0.985993504524231,292.0739164352417,34.614501953125,0.03795388340950012,543.9104199409485,466.16723573207855,0.9904947280883789,491.9363465234637,627.7586066275835,0.42170169949531555,752.5775401592255,496.2318298816681,0.9837261438369751,743.927098274231,670.7949132919312,0.5121297836303711
8,654.4757790565491,561.3675491809845,0.9885844588279724,679.8932337760925,188.8507628440857,0.9885084629058838,292.0739164352417,34.614501953125,0.03799375891685486,538.8953003883362,462.420268535614,0.9781323671340942,474.9967668056488,625.797235250473,0.9493256211280823,753.6436324119568,493.18669605255127,0.9911606311798096,802.3733606338501,404.5586648583412,0.28537121415138245
9,654.4757790565491,561.0485107898712,0.9893423318862915,679.9597611427307,188.61321830749512,0.990127444267273,292.0739164352417,34.614501953125,0.03799360990524292,536.7796249389648,457.41634607315063,0.9782416820526123,474.9967668056488,625.797235250473,0.9764475226402283,759.3019323348999,490.96028232574463,0.9839856028556824,802.3733606338501,404.5586648583412,0.815936267375946
10,649.7184751033783,561.0485107898712,0.9843606948852539,679.9597611427307,188.2629942893982,0.980463981628418,292.0739164352417,34.614501953125,0.03799384832382202,529.0011415481567,455.4040672779083,0.9887502193450928,472.48724937438965,620.2743379175663,0.9778896570205688,761.8521795272827,488.41355657577515,0.9639124870300293,807.7834358215332,404.5586648583412,0.48430463671684265
11,647.5873053073883,561.3451898097992,0.9830847382545471,680.0027103424072,188.2629942893982,0.9867371320724487,292.0739197731018,34.614501953125,0.03799349069595337,519.8743119239807,430.49283838272095,0.9759161472320557,452.6506413221359,543.740341424942,0.5826663374900818,764.913726568222,488.2624845504761,0.9634013175964355,807.7834358215332,404.5586648583412,0.18594306707382202
12,647.5873053073883,561.3451898097992,0.984133243560791,680.0522036552429,188.8507628440857,0.9877521991729736,292.0739498138428,34.6146559715271,0.0379941463470459,515.1128053069115,412.4503916501999,0.9397115111351013,385.76534271240234,541.6144560575485,0.9035117626190186,765.8964558839798,487.336385011673,0.9834973216056824,761.0265374183655,572.419571429491,0.9591626524925232
13,647.5673177242279,561.3451898097992,0.9861338138580322,680.0027103424072,189.4341526031494,0.9828492403030396,292.0739517211914,34.61466026306152,0.03799408674240112,512.5750260353088,409.1926519870758,0.8083032369613647,385.498783826828,535.3919186592102,0.955818772315979,772.8079511523247,476.8005227446556,0.9929875731468201,761.0265374183655,572.419571429491,0.09769973158836365
