scorer,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000,DeepCut_resnet50_190708Jul8shuffle1_200000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,Sound Stimulus,Sound Stimulus,Sound Stimulus,Left Knee,Left Knee,Left Knee,Left Foot,Left Foot,Left Foot,Right Knee,Right Knee,Right Knee,Right Foot,Right Foot,Right Foot
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,611.8526923209429,480.42211174964905,0.980853259563446,611.3113750219345,114.34855830669403,0.9994972944259644,291.8140468597412,34.73541736602783,0.04632869362831116,554.6208965778351,453.7177951335907,0.9932104349136353,567.7004623413086,663.0480246543884,0.9594423770904541,674.5354026556015,448.725216627121,0.9937357902526855,656.2195856571198,671.2220106124878,0.9989598989486694
1,613.1702001094818,482.08786630630493,0.9777001142501831,611.508566558361,115.02903550863266,0.9992699027061462,291.8289966583252,34.73541736602783,0.04688122868537903,556.2585044801235,455.26103472709656,0.9953399896621704,567.7004623413086,664.5255539417267,0.994341254234314,675.9621569290757,448.8024516105652,0.9948596954345703,661.2753473520279,671.9230251312256,0.9989333748817444
2,618.4277257919312,482.08786630630493,0.9943110942840576,611.508566558361,116.45359873771667,0.9992533922195435,291.8289966583252,34.74007177352905,0.04628083109855652,556.8061579465866,458.0222944021225,0.9871553778648376,567.7004623413086,669.2144669294357,0.9779890179634094,681.796138048172,450.42448008060455,0.9946954250335693,678.2175590991974,671.9230251312256,0.9987032413482666
3,618.4277257919312,482.08786630630493,0.9839532375335693,611.508566558361,115.02903550863266,0.9993939399719238,291.8289966583252,34.756789684295654,0.04679962992668152,557.4379589557648,458.52433824539185,0.9955835938453674,558.2763357162476,669.2144669294357,0.9965903759002686,681.796138048172,448.8024516105652,0.9988093972206116,678.2175590991974,671.2220106124878,0.9986991882324219
4,618.4277257919312,481.45957612991333,0.9529382586479187,611.79353274405,116.78893041610718,0.9995807409286499,291.82931423187256,34.74007177352905,0.04683259129524231,557.4379589557648,469.6346869468689,0.9073317050933838,539.9570053368807,669.4715753793716,0.9951444864273071,685.2848879098892,450.42448008060455,0.9932684898376465,680.5954759120941,671.9230251312256,0.9953392744064331
5,618.4277257919312,481.3068277835846,0.9741888046264648,611.79353274405,116.78893041610718,0.9994359612464905,291.82931423187256,34.7100191116333,0.04677468538284302,557.4379589557648,469.6346869468689,0.9941554069519043,539.9570053368807,672.9022052288055,0.9903661608695984,685.8755866289139,450.42448008060455,0.9936455488204956,680.8578176498413,672.1071276664734,0.9979343414306641
6,618.4277257919312,481.3068277835846,0.9789072275161743,611.9214392527938,116.85783183574677,0.9995712041854858,291.8141231536865,34.74569892883301,0.04517289996147156,557.4379589557648,469.6346869468689,0.9608892202377319,539.9570053368807,676.8852885961533,0.9978599548339844,687.6810972690582,450.42448008060455,0.994789183139801,684.8631454110146,674.1139924526215,0.996775209903717
7,615.4986834526062,481.45957612991333,0.9793717861175537,612.3710815012455,116.03118938580155,0.9995408654212952,291.8245220184326,34.72700881958008,0.04742693901062012,557.4379589557648,465.0222005844116,0.9805684089660645,539.9570053368807,676.8852885961533,0.9950491786003113,685.8755866289139,456.7415475845337,0.9969522953033447,680.5954759120941,674.1186798810959,0.9980525970458984
8,612.3480445146561,482.1330997943878,0.9663195610046387,611.9214392527938,116.03118938580155,0.9995441436767578,291.8245220184326,34.69461393356323,0.04795607924461365,554.3739991188049,462.70795702934265,0.9964491724967957,539.9570053368807,676.8852885961533,0.9945979118347168,685.8755866289139,458.49595081806183,0.9888659715652466,680.5954759120941,676.3887683153152,0.9980562925338745
9,621.0802017450333,482.1330997943878,0.9829182624816895,611.9214392527938,116.03118938580155,0.9995777606964111,291.8245220184326,34.69461393356323,0.046237826347351074,549.9102116823196,462.70795702934265,0.9967620968818665,537.713721036911,673.7182774543762,0.9962692260742188,683.5761283934116,458.49595081806183,0.9976522922515869,679.6473047733307,676.3887683153152,0.9962608218193054
10,623.8486762046814,482.1330997943878,0.9624251127243042,612.5052987337112,116.85783183574677,0.999442994594574,291.8245220184326,34.72700881958008,0.046262890100479126,549.9102116823196,462.70795702934265,0.9884235858917236,537.713721036911,673.2974901199341,0.9920966625213623,683.5761283934116,458.49595081806183,0.9944294691085815,679.6473047733307,676.3274766504765,0.9789904356002808
11,620.1277509629726,482.6972910165787,0.972664475440979,611.8651338666677,116.29201912879944,0.9994354248046875,291.82662868499756,34.71522569656372,0.04638412594795227,549.9102116823196,461.45435893535614,0.9964855313301086,533.5542197227478,670.7482080459595,0.9978575706481934,673.9739379882812,462.19237422943115,0.9973516464233398,666.0902606248856,676.3887683153152,0.9988398551940918
12,620.1277509629726,481.49469900131226,0.9638460874557495,611.8209591507912,116.29201912879944,0.9996346831321716,291.82894706726074,34.71522569656372,0.04726734757423401,551.2805480957031,461.244397521019,0.9964902400970459,533.5542197227478,670.2263808250427,0.9993959069252014,675.8286676257849,462.19237422943115,0.9169924259185791,666.8303351402283,676.3274766504765,0.9900461435317993
13,621.5936406850815,481.49469900131226,0.9733885526657104,611.8651338666677,116.87614184617996,0.999636173248291,291.82894706726074,34.73797273635864,0.04591396450996399,555.8025711327791,461.45435893535614,0.9943441152572632,536.1839542388916,670.7482080459595,0.9967709183692932,681.4658296108246,462.19237422943115,0.996646523475647,674.067787528038,676.3274766504765,0.9853910803794861
